group Movement-of-Society-for-Peace
Movement-of-Society-for-Peace_g-49.txt 0.718675
Movement-of-Society-for-Peace_g-4.txt 1.0
Movement-of-Society-for-Peace_g-47.txt 1.33289e-18
Movement-of-Society-for-Peace_g-24.txt 3.46187e-19
Movement-of-Society-for-Peace_g-48.txt 0.718675
Movement-of-Society-for-Peace_g-7.txt 2.33998e-10
Movement-of-Society-for-Peace_g-26.txt 1.21666e-16
Movement-of-Society-for-Peace_g-39.txt 1.0
Movement-of-Society-for-Peace_g-35.txt 1.7962e-19
Movement-of-Society-for-Peace_g-36.txt 7.07727e-15
Movement-of-Society-for-Peace_g-21.txt 1.63393e-16
Movement-of-Society-for-Peace_g-18.txt 0.997928
Movement-of-Society-for-Peace_g-42.txt 2.3748e-15
Movement-of-Society-for-Peace_g-43.txt 3.98418e-17
Movement-of-Society-for-Peace_g-32.txt 6.74235e-20
Movement-of-Society-for-Peace_g-29.txt 4.59971e-12
Movement-of-Society-for-Peace_g-14.txt 3.75327e-22
Movement-of-Society-for-Peace_g-19.txt 1.9469e-11
Movement-of-Society-for-Peace_g-17.txt 1.0
Movement-of-Society-for-Peace_g-13.txt 1.2777e-14
Movement-of-Society-for-Peace_g-5.txt 2.96274e-09
Movement-of-Society-for-Peace_g-50.txt 6.28399e-13
Movement-of-Society-for-Peace_g-6.txt 1.58734e-07
Movement-of-Society-for-Peace_g-10.txt 1.0
Movement-of-Society-for-Peace_g-1.txt 9.40418e-24
Movement-of-Society-for-Peace_g-40.txt 8.01643e-15
Movement-of-Society-for-Peace_g-30.txt 2.66694e-16
Movement-of-Society-for-Peace_g-2.txt 0.5
Movement-of-Society-for-Peace_g-31.txt 0.00597407
Movement-of-Society-for-Peace_g-16.txt 1.20532e-20
Movement-of-Society-for-Peace_g-23.txt 0.333347
Movement-of-Society-for-Peace_g-15.txt 1.0
Movement-of-Society-for-Peace_g-34.txt 5.06299e-11
Movement-of-Society-for-Peace_g-12.txt 1.64361e-14
Movement-of-Society-for-Peace_g-20.txt 3.79884e-07
Movement-of-Society-for-Peace_g-22.txt 1.0
Movement-of-Society-for-Peace_g-27.txt 1.0
group Movement-of-Society-for-Peace
Movement-of-Society-for-Peace_g-11.txt 2.05923e-06
Movement-of-Society-for-Peace_g-9.txt 0.25
Movement-of-Society-for-Peace_g-46.txt 1.47223e-08
Movement-of-Society-for-Peace_g-45.txt 1.46775e-10
Movement-of-Society-for-Peace_g-37.txt 1.0
Movement-of-Society-for-Peace_g-38.txt 5.63194e-14
Movement-of-Society-for-Peace_g-41.txt 4.12831e-07
Movement-of-Society-for-Peace_g-44.txt 0.999955
Movement-of-Society-for-Peace_g-0.txt 7.19999e-05
Movement-of-Society-for-Peace_g-28.txt 3.85835e-08
Movement-of-Society-for-Peace_g-49.txt 7.55659e-08
Movement-of-Society-for-Peace_g-4.txt 1.0
Movement-of-Society-for-Peace_g-47.txt 4.54071e-12
Movement-of-Society-for-Peace_g-24.txt 1.78973e-15
Movement-of-Society-for-Peace_g-48.txt 7.55659e-08
Movement-of-Society-for-Peace_g-7.txt 0.999987
Movement-of-Society-for-Peace_g-26.txt 3.24595e-13
Movement-of-Society-for-Peace_g-39.txt 0.999971
Movement-of-Society-for-Peace_g-35.txt 3.6054e-10
Movement-of-Society-for-Peace_g-36.txt 1.71393e-10
Movement-of-Society-for-Peace_g-21.txt 2.991e-14
Movement-of-Society-for-Peace_g-18.txt 1.4517e-07
Movement-of-Society-for-Peace_g-42.txt 9.94669e-15
Movement-of-Society-for-Peace_g-43.txt 2.24067e-09
Movement-of-Society-for-Peace_g-32.txt 1.54344e-13
Movement-of-Society-for-Peace_g-29.txt 3.97692e-18
Movement-of-Society-for-Peace_g-14.txt 6.23552e-14
Movement-of-Society-for-Peace_g-19.txt 2.31143e-06
Movement-of-Society-for-Peace_g-17.txt 1.0
Movement-of-Society-for-Peace_g-13.txt 1.84992e-09
Movement-of-Society-for-Peace_g-5.txt 0.00322971
Movement-of-Society-for-Peace_g-50.txt 0.499994
Movement-of-Society-for-Peace_g-6.txt 8.00656e-11
Movement-of-Society-for-Peace_g-10.txt 0.000365558
Movement-of-Society-for-Peace_g-1.txt 6.89119e-14
Movement-of-Society-for-Peace_g-40.txt 1.29783e-08
Movement-of-Society-for-Peace_g-30.txt 1.99109e-14
Movement-of-Society-for-Peace_g-2.txt 0.500037
Movement-of-Society-for-Peace_g-31.txt 6.8452e-05
Movement-of-Society-for-Peace_g-16.txt 3.08396e-12
Movement-of-Society-for-Peace_g-23.txt 0.333333
Movement-of-Society-for-Peace_g-15.txt 5.55045e-05
Movement-of-Society-for-Peace_g-34.txt 2.99735e-10
Movement-of-Society-for-Peace_g-12.txt 2.13778e-11
Movement-of-Society-for-Peace_g-20.txt 2.77795e-08
Movement-of-Society-for-Peace_g-22.txt 1.0
Movement-of-Society-for-Peace_g-27.txt 1.0
group AQIM
AQIM_g-3.txt 1.0
AQIM_g-6.txt 1.0
AQIM_g-2.txt 1.0
AQIM_g-5.txt 1.0
AQIM_g-4.txt 1.0
AQIM_g-1.txt 1.0
group AQIM
AQIM_g-3.txt 1.0
AQIM_g-6.txt 1.0
AQIM_g-2.txt 1.0
AQIM_g-5.txt 1.0
AQIM_g-4.txt 1.0
AQIM_g-1.txt 1.0
group AQIM
AQIM_g-3.txt 1.0
AQIM_g-6.txt 1.0
AQIM_g-2.txt 1.0
AQIM_g-5.txt 1.0
AQIM_g-4.txt 1.0
AQIM_g-1.txt 1.0
group AQIM
AQIM_g-3.txt 1.0
AQIM_g-6.txt 1.0
AQIM_g-2.txt 1.0
AQIM_g-5.txt 1.0
AQIM_g-4.txt 1.0
AQIM_g-1.txt 1.0
group AQIM
AQIM_g-3.txt 1.0
AQIM_g-6.txt 1.0
AQIM_g-2.txt 1.0
AQIM_g-5.txt 1.0
AQIM_g-4.txt 1.0
AQIM_g-1.txt 1.0
group Socialist-Union-Morocco
Socialist-Union-Morocco_g-210d2016-08-27.txt 1.74237e-16
Socialist-Union-Morocco_g-250d2016-08-27.txt 0.477362
Socialist-Union-Morocco_g-164d2016-09-29.txt 0.330704
Socialist-Union-Morocco_g-81d2017-05-05.txt 6.17602e-13
Socialist-Union-Morocco_g-336d2016-08-27.txt 0.142856
Socialist-Union-Morocco_g-212d2016-08-27.txt 0.265852
Socialist-Union-Morocco_g-314d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-101d2017-04-17.txt 9.26942e-18
Socialist-Union-Morocco_g-175d2016-09-27.txt 1.91797e-18
Socialist-Union-Morocco_g-117d2017-02-24.txt 1.02093e-20
Socialist-Union-Morocco_g-43d2017-07-07.txt 5.43265e-17
Socialist-Union-Morocco_g-195d2016-08-27.txt 0.333328
Socialist-Union-Morocco_g-118d2017-02-24.txt 1.88049e-14
Socialist-Union-Morocco_g-275d2016-08-27.txt 0.999953
Socialist-Union-Morocco_g-1d2017-10-31.txt 5.13499e-19
Socialist-Union-Morocco_g-339d2016-08-27.txt 0.333333
Socialist-Union-Morocco_g-361d2016-08-27.txt 0.384617
Socialist-Union-Morocco_g-215d2016-08-27.txt 1.28195e-07
Socialist-Union-Morocco_g-260d2016-08-27.txt 0.25
Socialist-Union-Morocco_g-19d2017-09-12.txt 1.0
Socialist-Union-Morocco_g-158d2016-09-30.txt 0.997559
Socialist-Union-Morocco_g-313d2016-08-27.txt 0.300308
Socialist-Union-Morocco_g-279d2016-08-27.txt 4.56933e-19
Socialist-Union-Morocco_g-91d2017-04-25.txt 0.0674355
Socialist-Union-Morocco_g-77d2017-05-12.txt 6.2291e-14
Socialist-Union-Morocco_g-50d2017-07-03.txt 1.97943e-13
Socialist-Union-Morocco_g-47d2017-07-05.txt 1.0
Socialist-Union-Morocco_g-60d2017-06-12.txt 1.13007e-11
Socialist-Union-Morocco_g-342d2016-08-27.txt 2.81567e-12
Socialist-Union-Morocco_g-192d2016-09-08.txt 5.9457e-07
Socialist-Union-Morocco_g-159d2016-09-30.txt 1.0
Socialist-Union-Morocco_g-128d2017-02-16.txt 1.13507e-18
Socialist-Union-Morocco_g-227d2016-08-27.txt 4.12247e-15
Socialist-Union-Morocco_g-9d2017-10-03.txt 4.79621e-19
Socialist-Union-Morocco_g-18d2017-09-13.txt 0.2
Socialist-Union-Morocco_g-261d2016-08-27.txt 0.490887
Socialist-Union-Morocco_g-85d2017-04-27.txt 7.10004e-17
Socialist-Union-Morocco_g-68d2017-05-23.txt 0.136712
Socialist-Union-Morocco_g-207d2016-08-27.txt 0.0893216
Socialist-Union-Morocco_g-133d2017-02-14.txt 1.9289e-18
Socialist-Union-Morocco_g-89d2017-04-29.txt 0.166643
Socialist-Union-Morocco_g-208d2016-08-27.txt 2.61981e-16
Socialist-Union-Morocco_g-0d2017-11-02.txt 4.64798e-15
Socialist-Union-Morocco_g-170d2016-09-28.txt 1.21301e-06
Socialist-Union-Morocco_g-224d2016-08-27.txt 0.666667
Socialist-Union-Morocco_g-254d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-251d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-98d2017-04-25.txt 2.66571e-14
Socialist-Union-Morocco_g-167d2016-09-28.txt 1.39192e-07
Socialist-Union-Morocco_g-38d2017-07-13.txt 0.5
Socialist-Union-Morocco_g-86d2017-04-29.txt 0.2
Socialist-Union-Morocco_g-277d2016-08-27.txt 0.12512
Socialist-Union-Morocco_g-24d2017-07-24.txt 2.9617e-11
Socialist-Union-Morocco_g-302d2016-08-27.txt 0.0148629
Socialist-Union-Morocco_g-243d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-301d2016-08-27.txt 0.142857
Socialist-Union-Morocco_g-35d2017-07-14.txt 1.66665e-18
Socialist-Union-Morocco_g-151d2016-10-04.txt 1.0
Socialist-Union-Morocco_g-58d2017-06-20.txt 7.86625e-12
Socialist-Union-Morocco_g-53d2017-06-29.txt 6.92803e-20
Socialist-Union-Morocco_g-176d2016-09-27.txt 0.142857
Socialist-Union-Morocco_g-292d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-120d2017-02-24.txt 2.16576e-12
Socialist-Union-Morocco_g-7d2017-10-16.txt 1.86709e-15
Socialist-Union-Morocco_g-174d2016-09-27.txt 1.71884e-07
Socialist-Union-Morocco_g-46d2017-07-07.txt 1.21371e-16
Socialist-Union-Morocco_g-343d2016-08-27.txt 4.13094e-16
Socialist-Union-Morocco_g-326d2016-08-27.txt 0.793846
Socialist-Union-Morocco_g-346d2016-08-27.txt 2.67039e-14
Socialist-Union-Morocco_g-362d2016-08-27.txt 0.600087
Socialist-Union-Morocco_g-55d2017-06-23.txt 3.92349e-18
Socialist-Union-Morocco_g-366d2016-08-27.txt 7.91399e-14
Socialist-Union-Morocco_g-76d2017-05-12.txt 1.0
Socialist-Union-Morocco_g-350d2016-08-27.txt 1.25094e-16
Socialist-Union-Morocco_g-65d2017-05-29.txt 0.00250857
Socialist-Union-Morocco_g-51d2017-07-03.txt 1.68442e-12
Socialist-Union-Morocco_g-145d2016-11-13.txt 0.0108309
Socialist-Union-Morocco_g-29d2017-07-20.txt 3.38016e-17
Socialist-Union-Morocco_g-351d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-360d2016-08-27.txt 0.6
Socialist-Union-Morocco_g-322d2016-08-27.txt 0.666578
Socialist-Union-Morocco_g-238d2016-08-27.txt 0.307692
Socialist-Union-Morocco_g-225d2016-08-27.txt 0.75
Socialist-Union-Morocco_g-69d2017-05-17.txt 1.51127e-17
Socialist-Union-Morocco_g-232d2016-08-27.txt 0.25
Socialist-Union-Morocco_g-80d2017-05-08.txt 1.0
Socialist-Union-Morocco_g-95d2017-04-25.txt 3.2176e-18
Socialist-Union-Morocco_g-30d2017-07-19.txt 0.492968
Socialist-Union-Morocco_g-285d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-190d2016-09-05.txt 8.59802e-18
Socialist-Union-Morocco_g-166d2016-09-28.txt 0.333334
Socialist-Union-Morocco_g-323d2016-08-27.txt 0.5
Socialist-Union-Morocco_g-181d2016-09-27.txt 0.734793
Socialist-Union-Morocco_g-205d2016-08-27.txt 2.61218e-08
Socialist-Union-Morocco_g-82d2017-05-04.txt 1.70335e-13
Socialist-Union-Morocco_g-183d2016-09-27.txt 1.0
Socialist-Union-Morocco_g-223d2016-08-27.txt 2.57565e-16
Socialist-Union-Morocco_g-172d2016-09-28.txt 0.2
Socialist-Union-Morocco_g-330d2016-08-27.txt 5.27344e-08
Socialist-Union-Morocco_g-320d2016-08-27.txt 1.29545e-14
Socialist-Union-Morocco_g-22d2017-07-26.txt 0.0214156
Socialist-Union-Morocco_g-309d2016-08-27.txt 0.333333
Socialist-Union-Morocco_g-114d2017-03-02.txt 1.0
Socialist-Union-Morocco_g-6d2017-10-16.txt 1.0
Socialist-Union-Morocco_g-54d2017-06-29.txt 0.999902
Socialist-Union-Morocco_g-163d2016-09-29.txt 1.80132e-08
Socialist-Union-Morocco_g-79d2017-05-10.txt 6.58349e-18
Socialist-Union-Morocco_g-144d2016-11-13.txt 0.999997
Socialist-Union-Morocco_g-83d2017-04-29.txt 1.01013e-14
Socialist-Union-Morocco_g-180d2016-09-27.txt 0.651178
Socialist-Union-Morocco_g-66d2017-05-26.txt 2.63542e-15
Socialist-Union-Morocco_g-26d2017-07-24.txt 1.63787e-10
Socialist-Union-Morocco_g-33d2017-07-17.txt 3.14157e-16
Socialist-Union-Morocco_g-177d2016-09-27.txt 0.21917
Socialist-Union-Morocco_g-45d2017-07-07.txt 8.13819e-17
Socialist-Union-Morocco_g-258d2016-08-27.txt 3.44327e-19
Socialist-Union-Morocco_g-122d2017-02-20.txt 1.88067e-15
Socialist-Union-Morocco_g-2d2017-10-20.txt 1.0
Socialist-Union-Morocco_g-42d2017-07-07.txt 0.166667
Socialist-Union-Morocco_g-97d2017-04-25.txt 1.0
Socialist-Union-Morocco_g-191d2016-09-05.txt 0.2
Socialist-Union-Morocco_g-119d2017-02-24.txt 1.02166e-16
Socialist-Union-Morocco_g-263d2016-08-27.txt 0.334145
Socialist-Union-Morocco_g-139d2017-01-13.txt 1.074e-17
Socialist-Union-Morocco_g-16d2017-09-14.txt 9.83509e-16
Socialist-Union-Morocco_g-32d2017-07-17.txt 3.32849e-20
Socialist-Union-Morocco_g-59d2017-06-16.txt 3.45341e-17
Socialist-Union-Morocco_g-333d2016-08-27.txt 0.658939
Socialist-Union-Morocco_g-217d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-56d2017-06-23.txt 4.41006e-18
Socialist-Union-Morocco_g-169d2016-09-28.txt 0.208748
Socialist-Union-Morocco_g-103d2017-04-10.txt 0.333303
Socialist-Union-Morocco_g-318d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-184d2016-09-26.txt 0.00352695
Socialist-Union-Morocco_g-182d2016-09-27.txt 2.95415e-07
Socialist-Union-Morocco_g-37d2017-07-13.txt 9.9838e-14
Socialist-Union-Morocco_g-105d2017-04-08.txt 1.0
Socialist-Union-Morocco_g-168d2016-09-28.txt 7.20648e-12
Socialist-Union-Morocco_g-211d2016-08-27.txt 1.56701e-09
Socialist-Union-Morocco_g-340d2016-08-27.txt 0.716411
Socialist-Union-Morocco_g-216d2016-08-27.txt 1.66339e-16
Socialist-Union-Morocco_g-268d2016-08-27.txt 0.401819
Socialist-Union-Morocco_g-57d2017-06-22.txt 1.0
Socialist-Union-Morocco_g-71d2017-05-29.txt 9.68623e-14
Socialist-Union-Morocco_g-335d2016-08-27.txt 0.666579
Socialist-Union-Morocco_g-310d2016-08-27.txt 0.999415
Socialist-Union-Morocco_g-311d2016-08-27.txt 6.87546e-15
Socialist-Union-Morocco_g-13d2017-09-21.txt 0.333333
Socialist-Union-Morocco_g-363d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-295d2016-08-27.txt 0.50414
Socialist-Union-Morocco_g-245d2016-08-27.txt 0.91927
Socialist-Union-Morocco_g-199d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-150d2016-10-05.txt 6.44356e-11
Socialist-Union-Morocco_g-23d2017-07-24.txt 8.38268e-15
Socialist-Union-Morocco_g-193d2016-09-05.txt 1.96113e-11
Socialist-Union-Morocco_g-131d2017-02-14.txt 2.88639e-15
Socialist-Union-Morocco_g-242d2016-08-27.txt 3.71948e-20
Socialist-Union-Morocco_g-141d2016-11-14.txt 0.0747206
Socialist-Union-Morocco_g-219d2016-08-27.txt 4.26162e-11
Socialist-Union-Morocco_g-112d2017-03-09.txt 9.42429e-06
Socialist-Union-Morocco_g-197d2016-08-27.txt 9.14594e-05
Socialist-Union-Morocco_g-220d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-358d2016-08-27.txt 2.08623e-12
Socialist-Union-Morocco_g-171d2016-09-28.txt 0.333333
Socialist-Union-Morocco_g-4d2017-10-17.txt 8.1693e-13
Socialist-Union-Morocco_g-179d2016-09-27.txt 3.69912e-17
Socialist-Union-Morocco_g-44d2017-07-07.txt 1.36442e-11
Socialist-Union-Morocco_g-196d2016-08-27.txt 0.0188172
Socialist-Union-Morocco_g-308d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-244d2016-08-27.txt 1.0
Socialist-Union-Morocco_g-143d2016-11-13.txt 0.333336
Socialist-Union-Morocco_g-21d2017-08-01.txt 1.64733e-08
Socialist-Union-Morocco_g-161d2016-09-29.txt 4.27115e-16
Socialist-Union-Morocco_g-75d2017-05-13.txt 1.0
Socialist-Union-Morocco_g-253d2016-08-27.txt 4.08327e-17
Socialist-Union-Morocco_g-87d2017-04-26.txt 7.64887e-05
Socialist-Union-Morocco_g-222d2016-08-27.txt 0.0406695
Socialist-Union-Morocco_g-15d2017-09-15.txt 2.5502e-14
Socialist-Union-Morocco_g-241d2016-08-27.txt 0.166667
Socialist-Union-Morocco_g-257d2016-08-27.txt 1.14414e-19
Socialist-Union-Morocco_g-25d2017-07-25.txt 8.18581e-21
Socialist-Union-Morocco_g-327d2016-08-27.txt 0.997632
Socialist-Union-Morocco_g-364d2016-08-27.txt 2.52941e-14
Socialist-Union-Morocco_g-116d2017-03-01.txt 4.83104e-17
Socialist-Union-Morocco_g-200d2016-08-27.txt 6.88587e-19
Socialist-Union-Morocco_g-17d2017-09-13.txt 1.18523e-16
Socialist-Union-Morocco_g-187d2016-09-19.txt 0.499759
Socialist-Union-Morocco_g-94d2017-04-24.txt 3.54858e-13
Socialist-Union-Morocco_g-88d2017-04-29.txt 2.29272e-17
Socialist-Union-Morocco_g-136d2017-01-19.txt 0.332649
Socialist-Union-Morocco_g-228d2016-08-27.txt 0.142861
Socialist-Union-Morocco_g-236d2016-08-27.txt 6.12535e-14
Socialist-Union-Morocco_g-99d2017-04-25.txt 3.23164e-13
Socialist-Union-Morocco_g-130d2017-02-14.txt 0.221262
Socialist-Union-Morocco_g-165d2016-09-28.txt 1.01587e-16
Socialist-Union-Morocco_g-154d2016-10-03.txt 0.428573
Socialist-Union-Morocco_g-337d2016-08-27.txt 0.285714
Socialist-Union-Morocco_g-239d2016-08-27.txt 0.353754
Socialist-Union-Morocco_g-36d2017-07-14.txt 1.68633e-10
Socialist-Union-Morocco_g-278d2016-08-27.txt 0.500781
